Step: 124 | Reward: -20.5 | Advantage: 0.0057853 | Loss: -1.9025e-07 | Prob: 0.99986 | Log Prob: -0.00013984 | Grad Norm: 6747.7 | Time: 9.1967 | Total Time: 4.3254
Step: 128 | Reward: -20.75 | Advantage: -0.0030415 | Loss: 1.5936e-07 | Prob: 0.99984 | Log Prob: -0.00015951 | Grad Norm: 12679 | Time: 7.7853 | Total Time: 4.4551
Step: 132 | Reward: -20.75 | Advantage: 0.0087213 | Loss: -1.1306e-07 | Prob: 0.99984 | Log Prob: -0.00016285 | Grad Norm: 6800.1 | Time: 10.173 | Total Time: 4.6247
Step: 136 | Reward: -20.75 | Advantage: -0.013093 | Loss: -2.6362e-07 | Prob: 0.99984 | Log Prob: -0.00015856 | Grad Norm: 10800 | Time: 9.2895 | Total Time: 4.7795
Step: 140 | Reward: -21 | Advantage: -0.026371 | Loss: 7.9193e-07 | Prob: 0.99985 | Log Prob: -0.00014914 | Grad Norm: 13984 | Time: 9.4157 | Total Time: 4.9364
Step: 144 | Reward: -20.75 | Advantage: -0.0096446 | Loss: 4.7205e-08 | Prob: 0.99984 | Log Prob: -0.00016297 | Grad Norm: 11325 | Time: 12.002 | Total Time: 5.1365
Step: 148 | Reward: -20.75 | Advantage: -0.0023035 | Loss: -1.4516e-07 | Prob: 0.99984 | Log Prob: -0.00016214 | Grad Norm: 5714.5 | Time: 10.634 | Total Time: 5.3137
Step: 152 | Reward: -20.75 | Advantage: -0.0033975 | Loss: 4.0814e-08 | Prob: 0.99983 | Log Prob: -0.00016846 | Grad Norm: 5436 | Time: 9.3728 | Total Time: 5.4699
Step: 156 | Reward: -20.75 | Advantage: -0.010497 | Loss: -6.2648e-08 | Prob: 0.99983 | Log Prob: -0.00017072 | Grad Norm: 6680.9 | Time: 7.6388 | Total Time: 5.5972
Step: 160 | Reward: -21 | Advantage: -0.023076 | Loss: -6.1502e-07 | Prob: 0.99983 | Log Prob: -0.00017013 | Grad Norm: 17848 | Time: 6.0014 | Total Time: 5.6973
Step: 164 | Reward: -21 | Advantage: -0.018675 | Loss: -3.4278e-08 | Prob: 0.99982 | Log Prob: -0.0001771 | Grad Norm: 16972 | Time: 5.9052 | Total Time: 5.7957
Step: 168 | Reward: -21 | Advantage: -0.018736 | Loss: -3.2136e-08 | Prob: 0.99981 | Log Prob: -0.000187 | Grad Norm: 21472 | Time: 6.6804 | Total Time: 5.907
Step: 172 | Reward: -20.25 | Advantage: -0.0090097 | Loss: -5.0354e-08 | Prob: 0.9998 | Log Prob: -0.00019511 | Grad Norm: 9080.5 | Time: 9.2713 | Total Time: 6.0615
Step: 176 | Reward: -20.75 | Advantage: -0.0072121 | Loss: -2.1773e-07 | Prob: 0.99979 | Log Prob: -0.00020524 | Grad Norm: 3327.8 | Time: 12.867 | Total Time: 6.276
Step: 180 | Reward: -20.75 | Advantage: -0.0046574 | Loss: -1.4979e-07 | Prob: 0.99977 | Log Prob: -0.00022897 | Grad Norm: 13978 | Time: 11.263 | Total Time: 6.4637
Step: 184 | Reward: -20.75 | Advantage: -0.013728 | Loss: -4.0622e-07 | Prob: 0.99974 | Log Prob: -0.00025675 | Grad Norm: 5508.7 | Time: 10.193 | Total Time: 6.6336
Step: 188 | Reward: -21 | Advantage: -0.0068799 | Loss: -1.3624e-07 | Prob: 0.99971 | Log Prob: -0.00028871 | Grad Norm: 16848 | Time: 9.0772 | Total Time: 6.7849
Step: 192 | Reward: -20.75 | Advantage: 0.011054 | Loss: -1.9651e-07 | Prob: 0.99974 | Log Prob: -0.00025913 | Grad Norm: 11619 | Time: 9.5556 | Total Time: 6.9441
Step: 196 | Reward: -21 | Advantage: -0.013938 | Loss: 8.1366e-08 | Prob: 0.99972 | Log Prob: -0.00027857 | Grad Norm: 9280.7 | Time: 7.6619 | Total Time: 7.0718
Step: 200 | Reward: -21 | Advantage: 0.00048002 | Loss: 2.1645e-07 | Prob: 0.99971 | Log Prob: -0.00028775 | Grad Norm: 16613 | Time: 7.8937 | Total Time: 7.2034
Step: 204 | Reward: -20.75 | Advantage: -0.015482 | Loss: 7.9006e-08 | Prob: 0.99973 | Log Prob: -0.00027166 | Grad Norm: 12253 | Time: 8.0081 | Total Time: 7.3369
