Using device: cuda
Episode: 1328, Reward: -17.5625, Loss: -0.00113855, Time: 24592.58ms
Episode: 1344, Reward: -16.5625, Loss: -0.00117320, Time: 22773.98ms
Episode: 1360, Reward: -16.3125, Loss: -0.00157222, Time: 20972.70ms
Episode: 1376, Reward: -14.1875, Loss: -0.00033607, Time: 20782.86ms
Episode: 1392, Reward: -15.1875, Loss: -0.00080021, Time: 22230.58ms
Episode: 1408, Reward: -15.25, Loss: -0.00199178, Time: 20775.66ms
Episode: 1424, Reward: -17.1875, Loss: -0.00118469, Time: 24213.51ms
Episode: 1440, Reward: -16.0625, Loss: -0.00100080, Time: 22368.62ms
Episode: 1456, Reward: -16.625, Loss: -0.00037740, Time: 25604.99ms
Episode: 1472, Reward: -15.4375, Loss: -0.00208225, Time: 20571.41ms
Episode: 1488, Reward: -14.6875, Loss: -0.00094633, Time: 21207.40ms
Episode: 1504, Reward: -16.75, Loss: -0.00066082, Time: 22797.18ms
Episode: 1520, Reward: -15.9375, Loss: -0.00089866, Time: 20971.20ms
Episode: 1536, Reward: -16.625, Loss: -0.00098177, Time: 24816.32ms
Episode: 1552, Reward: -17.1875, Loss: -0.00203058, Time: 22786.79ms
Episode: 1568, Reward: -15.9375, Loss: -0.00110095, Time: 20991.26ms
Episode: 1584, Reward: -15.25, Loss: -0.00103498, Time: 20375.13ms
Episode: 1600, Reward: -16.5, Loss: -0.00219031, Time: 20397.52ms
Episode: 1616, Reward: -16.25, Loss: -0.00141337, Time: 20595.21ms
Episode: 1632, Reward: -15.375, Loss: -0.00283938, Time: 20993.70ms
Episode: 1648, Reward: -16.875, Loss: -0.00233180, Time: 20972.70ms
Episode: 1664, Reward: -15.25, Loss: -0.00216632, Time: 23216.08ms
Episode: 1680, Reward: -16.1875, Loss: 0.00022092, Time: 24822.65ms
Episode: 1696, Reward: -16.8125, Loss: -0.00160428, Time: 21162.62ms
Episode: 1712, Reward: -15.4375, Loss: -0.00107218, Time: 20783.95ms
Episode: 1728, Reward: -15.1875, Loss: -0.00307199, Time: 21176.02ms
Episode: 1744, Reward: -16.0, Loss: -0.00345352, Time: 22808.12ms
Episode: 1760, Reward: -16.125, Loss: -0.00162194, Time: 23210.12ms
Episode: 1776, Reward: -16.6875, Loss: -0.00041381, Time: 22794.72ms
Episode: 1792, Reward: -17.0625, Loss: -0.00190761, Time: 23205.93ms
Episode: 1808, Reward: -16.5, Loss: -0.00173844, Time: 22170.77ms
Episode: 1824, Reward: -17.0, Loss: -0.00461995, Time: 22798.53ms
Episode: 1840, Reward: -15.9375, Loss: -0.00481057, Time: 20369.50ms
Episode: 1856, Reward: -16.4375, Loss: -0.00155962, Time: 22596.35ms
Episode: 1872, Reward: -13.6875, Loss: -0.00453541, Time: 21029.84ms
Episode: 1888, Reward: -14.8125, Loss: 0.00044079, Time: 20951.73ms
Episode: 1904, Reward: -15.25, Loss: -0.00353755, Time: 20991.76ms
Episode: 1920, Reward: -16.4375, Loss: 0.00054938, Time: 22611.00ms
Episode: 1936, Reward: -15.8125, Loss: -0.00668353, Time: 23010.60ms
Episode: 1952, Reward: -17.125, Loss: -0.00355396, Time: 22777.72ms
Episode: 1968, Reward: -15.5625, Loss: -0.00034120, Time: 20793.55ms
Episode: 1984, Reward: -15.5, Loss: -0.00445681, Time: 21173.72ms
Episode: 2000, Reward: -16.75, Loss: -0.00317803, Time: 22421.18ms
Episode: 2016, Reward: -17.6875, Loss: -0.00289091, Time: 23189.63ms
Episode: 2032, Reward: -15.6875, Loss: -0.00278316, Time: 22979.76ms
Episode: 2048, Reward: -15.3125, Loss: -0.00420812, Time: 20384.16ms
Episode: 2064, Reward: -17.4375, Loss: -0.00380898, Time: 22618.06ms
Episode: 2080, Reward: -15.125, Loss: -0.00389970, Time: 23404.44ms
Episode: 2096, Reward: -17.125, Loss: -0.00230946, Time: 22783.20ms
Episode: 2112, Reward: -17.5, Loss: 0.00078661, Time: 22766.74ms
Episode: 2128, Reward: -16.25, Loss: 0.00074799, Time: 23015.12ms
Episode: 2144, Reward: -17.0625, Loss: -0.00418750, Time: 22594.96ms
Episode: 2160, Reward: -16.8125, Loss: -0.00072640, Time: 22996.20ms
Episode: 2176, Reward: -17.4375, Loss: 0.00022486, Time: 22982.58ms
Episode: 2192, Reward: -15.375, Loss: -0.00412253, Time: 20981.85ms
Episode: 2208, Reward: -17.25, Loss: -0.00456005, Time: 23003.16ms
Episode: 2224, Reward: -15.625, Loss: -0.00203116, Time: 21383.76ms
Episode: 2240, Reward: -17.125, Loss: -0.00700486, Time: 27140.57ms
Episode: 2256, Reward: -17.25, Loss: -0.00725859, Time: 26456.62ms
Episode: 2272, Reward: -16.875, Loss: -0.00015727, Time: 21596.10ms
Episode: 2288, Reward: -15.8125, Loss: -0.00796379, Time: 19792.69ms
Episode: 2304, Reward: -17.8125, Loss: -0.00658488, Time: 21583.02ms
Episode: 2320, Reward: -16.5625, Loss: 0.00142707, Time: 21392.00ms
Episode: 2336, Reward: -15.625, Loss: -0.00890202, Time: 20583.82ms
Episode: 2352, Reward: -16.8125, Loss: -0.00532429, Time: 21821.88ms
Episode: 2368, Reward: -17.625, Loss: -0.00511048, Time: 21170.31ms
