Episode: 156, Loss: 0.00594425480812788, Reward: -20.5, Advantage: 2.6353582427418587e-08, Max Prob: 0.4289371371269226, Max Log Prob: -0.8464449048042297
Episode: 160, Loss: 0.0015140075702220201, Reward: -20.5, Advantage: -1.614920641657136e-08, Max Prob: 0.3977712392807007, Max Log Prob: -0.9218782186508179
Episode: 164, Loss: -0.002429365646094084, Reward: -20.25, Advantage: 1.1828100809907482e-07, Max Prob: 0.41984063386917114, Max Log Prob: -0.86788010597229
Episode: 168, Loss: 0.0034888391382992268, Reward: -20.0, Advantage: -2.8726174150506267e-07, Max Prob: 0.4158196449279785, Max Log Prob: -0.8775036334991455
Episode: 172, Loss: -0.0006697472417727113, Reward: -19.5, Advantage: -1.0045160081517679e-07, Max Prob: 0.4217453896999359, Max Log Prob: -0.8633534908294678
Episode: 176, Loss: 0.002061755396425724, Reward: -20.5, Advantage: 1.2732085963307327e-07, Max Prob: 0.4111085832118988, Max Log Prob: -0.8888978958129883
Episode: 180, Loss: -0.0016608297592028975, Reward: -20.0, Advantage: -1.812315417737409e-07, Max Prob: 0.3926236629486084, Max Log Prob: -0.9349037408828735
Episode: 184, Loss: 0.0015953399706631899, Reward: -21.0, Advantage: 1.29999648379453e-07, Max Prob: 0.4380163550376892, Max Log Prob: -0.8254990577697754
Episode: 188, Loss: 0.004207596182823181, Reward: -20.5, Advantage: 1.0808752648472364e-07, Max Prob: 0.3912501037120819, Max Log Prob: -0.9384082555770874
Episode: 192, Loss: 0.0008788919076323509, Reward: -20.75, Advantage: -2.713913715979288e-07, Max Prob: 0.3854353725910187, Max Log Prob: -0.9533817768096924
Episode: 196, Loss: -0.001958066364750266, Reward: -20.25, Advantage: 1.2205903487938485e-07, Max Prob: 0.3702836036682129, Max Log Prob: -0.9934860467910767
Episode: 200, Loss: -0.002810977166518569, Reward: -20.0, Advantage: 3.5424463362687675e-08, Max Prob: 0.38497409224510193, Max Log Prob: -0.95457923412323
Episode: 204, Loss: -0.00040883373003453016, Reward: -20.0, Advantage: -8.694878772530501e-08, Max Prob: 0.36381885409355164, Max Log Prob: -1.0110992193222046
Episode: 208, Loss: 0.005282511468976736, Reward: -20.0, Advantage: -2.2482427652903425e-07, Max Prob: 0.36922627687454224, Max Log Prob: -0.9963456392288208
Episode: 212, Loss: -0.001187548623420298, Reward: -20.5, Advantage: 3.2642681446759525e-08, Max Prob: 0.3529650866985321, Max Log Prob: -1.0413861274719238
Episode: 216, Loss: -0.0010597401997074485, Reward: -19.5, Advantage: -1.9996396360966173e-07, Max Prob: 0.3492027223110199, Max Log Prob: -1.0521026849746704
Episode: 220, Loss: 0.0013368864310905337, Reward: -20.25, Advantage: -7.871235396805787e-08, Max Prob: 0.34919267892837524, Max Log Prob: -1.0521314144134521
Episode: 224, Loss: -0.0010430612601339817, Reward: -20.5, Advantage: 1.209207596275519e-07, Max Prob: 0.33672237396240234, Max Log Prob: -1.088496446609497
Episode: 228, Loss: -0.0014879307709634304, Reward: -18.75, Advantage: -3.792125014001613e-08, Max Prob: 0.36944958567619324, Max Log Prob: -0.9957410097122192
Episode: 232, Loss: -0.005446635652333498, Reward: -20.75, Advantage: -3.799484318278701e-07, Max Prob: 0.38409528136253357, Max Log Prob: -0.956864595413208
Episode: 236, Loss: 0.0011449615703895688, Reward: -19.75, Advantage: 4.54908253288977e-08, Max Prob: 0.3815156817436218, Max Log Prob: -0.9636033177375793
Episode: 240, Loss: -0.0003904510522261262, Reward: -20.0, Advantage: 1.2563261009290727e-07, Max Prob: 0.3836178779602051, Max Log Prob: -0.9581083059310913
Episode: 244, Loss: -0.002893646713346243, Reward: -19.75, Advantage: 1.853499576043305e-08, Max Prob: 0.38014715909957886, Max Log Prob: -0.9671968221664429
Episode: 248, Loss: -0.004907301161438227, Reward: -20.75, Advantage: 7.909321197985264e-08, Max Prob: 0.41593456268310547, Max Log Prob: -0.8772273063659668
Episode: 252, Loss: 0.0011027964064851403, Reward: -19.75, Advantage: -4.046634316523523e-08, Max Prob: 0.3704022467136383, Max Log Prob: -0.9931657314300537
Episode: 256, Loss: -0.0022125826217234135, Reward: -20.0, Advantage: -1.1293682433688446e-07, Max Prob: 0.41215717792510986, Max Log Prob: -0.8863505125045776
Episode: 260, Loss: 0.0013851518742740154, Reward: -20.25, Advantage: 1.3015777255986904e-07, Max Prob: 0.35185348987579346, Max Log Prob: -1.0445404052734375
Episode: 264, Loss: -0.005871174391359091, Reward: -20.5, Advantage: -1.2199852506000752e-07, Max Prob: 0.39359933137893677, Max Log Prob: -0.9324218034744263
Episode: 268, Loss: -0.010023023933172226, Reward: -20.25, Advantage: 1.5386314444754134e-08, Max Prob: 0.40551507472991943, Max Log Prob: -0.9025972485542297
Episode: 272, Loss: 0.0012452711816877127, Reward: -20.0, Advantage: 2.7492859544508974e-08, Max Prob: 0.4100370705127716, Max Log Prob: -0.8915077447891235
Episode: 276, Loss: -0.005947806406766176, Reward: -20.75, Advantage: -1.5144068754580076e-07, Max Prob: 0.4228871166706085, Max Log Prob: -0.8606500029563904
Episode: 280, Loss: -0.001996329054236412, Reward: -20.5, Advantage: -2.445285360863636e-07, Max Prob: 0.46070539951324463, Max Log Prob: -0.7749965190887451
