Using device: cuda
Epoch: 30 | Loss: -0.85547 | Reward: -20.125 | Advantage: -1.5044e-08 | Prob: 0.49316 | LogProb: -0.67668 | GradNorm: 81.455 | Time (s): 21.16 | Total Time (m): 10.787
Epoch: 31 | Loss: 14.536 | Reward: -20.875 | Advantage: 3.5584e-07 | Prob: 0.49292 | LogProb: -0.67572 | GradNorm: 2377.1 | Time (s): 21.259 | Total Time (m): 11.141
Epoch: 32 | Loss: 8.1912 | Reward: -20.25 | Advantage: 1.675e-07 | Prob: 0.49268 | LogProb: -0.67572 | GradNorm: 11764 | Time (s): 15.714 | Total Time (m): 11.403
Epoch: 33 | Loss: 5.5811 | Reward: -19.875 | Advantage: 9.9922e-08 | Prob: 0.49268 | LogProb: -0.67572 | GradNorm: 6369.9 | Time (s): 19.882 | Total Time (m): 11.735
Epoch: 34 | Loss: -8.2802 | Reward: -20.625 | Advantage: -1.8073e-07 | Prob: 0.49243 | LogProb: -0.67572 | GradNorm: 12938 | Time (s): 24.112 | Total Time (m): 12.136
Epoch: 35 | Loss: -0.45248 | Reward: -20.25 | Advantage: -8.5975e-09 | Prob: 0.49219 | LogProb: -0.6738 | GradNorm: 412.68 | Time (s): 19.057 | Total Time (m): 12.454
Epoch: 36 | Loss: 0.75439 | Reward: -20.25 | Advantage: 1.555e-08 | Prob: 0.49219 | LogProb: -0.6738 | GradNorm: 267.34 | Time (s): 17.513 | Total Time (m): 12.746
Epoch: 37 | Loss: 4.4145 | Reward: -20.375 | Advantage: 9.774e-08 | Prob: 0.49219 | LogProb: -0.6738 | GradNorm: 4854.8 | Time (s): 17.023 | Total Time (m): 13.03
Epoch: 38 | Loss: 2.8823 | Reward: -19.75 | Advantage: 5.1143e-08 | Prob: 0.49219 | LogProb: -0.6738 | GradNorm: 3942.1 | Time (s): 20.454 | Total Time (m): 13.371
Epoch: 39 | Loss: -3.7599 | Reward: -20.5 | Advantage: -7.5995e-08 | Prob: 0.49194 | LogProb: -0.6738 | GradNorm: 429.05 | Time (s): 19.129 | Total Time (m): 13.689
Epoch: 40 | Loss: 1.7026 | Reward: -19.875 | Advantage: 2.7007e-08 | Prob: 0.49194 | LogProb: -0.6738 | GradNorm: 481.65 | Time (s): 19.671 | Total Time (m): 14.017
Epoch: 41 | Loss: -13.456 | Reward: -20.875 | Advantage: -3.2406e-07 | Prob: 0.49219 | LogProb: -0.6738 | GradNorm: 4536.5 | Time (s): 22.909 | Total Time (m): 14.399
Epoch: 42 | Loss: 4.03 | Reward: -20.75 | Advantage: 8.8212e-08 | Prob: 0.49219 | LogProb: -0.67476 | GradNorm: 1133.6 | Time (s): 15.383 | Total Time (m): 14.655
Epoch: 43 | Loss: 5.8553 | Reward: -20.625 | Advantage: 1.1978e-07 | Prob: 0.49194 | LogProb: -0.6738 | GradNorm: 1223.9 | Time (s): 19.395 | Total Time (m): 14.979
Epoch: 44 | Loss: -8.5605 | Reward: -20.625 | Advantage: -2.0204e-07 | Prob: 0.49194 | LogProb: -0.6738 | GradNorm: 6416.4 | Time (s): 17.21 | Total Time (m): 15.266
Epoch: 45 | Loss: 6.3377 | Reward: -20.75 | Advantage: 1.6085e-07 | Prob: 0.49194 | LogProb: -0.6738 | GradNorm: 2969.2 | Time (s): 14.275 | Total Time (m): 15.503
Epoch: 46 | Loss: 1.4692 | Reward: -20.75 | Advantage: 3.804e-08 | Prob: 0.4917 | LogProb: -0.6738 | GradNorm: 2297.6 | Time (s): 16.017 | Total Time (m): 15.77
Epoch: 47 | Loss: -0.89392 | Reward: -20.375 | Advantage: -1.5746e-08 | Prob: 0.4917 | LogProb: -0.6738 | GradNorm: 1728.8 | Time (s): 21.134 | Total Time (m): 16.123
Epoch: 48 | Loss: 5.8269 | Reward: -20 | Advantage: 1.0551e-07 | Prob: 0.49121 | LogProb: -0.67285 | GradNorm: 9715.3 | Time (s): 23.067 | Total Time (m): 16.507
Epoch: 49 | Loss: 0.99542 | Reward: -19.75 | Advantage: 1.4607e-08 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 85.097 | Time (s): 16.274 | Total Time (m): 16.778
Epoch: 50 | Loss: -3.7285 | Reward: -20.5 | Advantage: -8.6049e-08 | Prob: 0.49072 | LogProb: -0.67189 | GradNorm: 5758.5 | Time (s): 17.099 | Total Time (m): 17.063
Epoch: 51 | Loss: 7.1968 | Reward: -20.625 | Advantage: 1.4362e-07 | Prob: 0.49048 | LogProb: -0.67189 | GradNorm: 9665.2 | Time (s): 19.16 | Total Time (m): 17.383
Epoch: 52 | Loss: 1.7675 | Reward: -20.625 | Advantage: 3.0583e-08 | Prob: 0.49048 | LogProb: -0.67189 | GradNorm: 1947.7 | Time (s): 16.736 | Total Time (m): 17.662
Epoch: 53 | Loss: -6.9629 | Reward: -20.75 | Advantage: -1.4023e-07 | Prob: 0.49072 | LogProb: -0.67189 | GradNorm: 20526 | Time (s): 17.413 | Total Time (m): 17.952
Epoch: 54 | Loss: -7.4833 | Reward: -20.5 | Advantage: -1.6516e-07 | Prob: 0.49072 | LogProb: -0.67189 | GradNorm: 10419 | Time (s): 17.18 | Total Time (m): 18.238
Epoch: 55 | Loss: -2.1619 | Reward: -20.25 | Advantage: -4.3318e-08 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 899.81 | Time (s): 20.028 | Total Time (m): 18.572
Epoch: 56 | Loss: 8.4139 | Reward: -20.5 | Advantage: 1.7125e-07 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 13112 | Time (s): 20.057 | Total Time (m): 18.906
Epoch: 57 | Loss: -9.2839 | Reward: -20.75 | Advantage: -2.0374e-07 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 13250 | Time (s): 19.13 | Total Time (m): 19.225
Epoch: 58 | Loss: 0.88501 | Reward: -20.375 | Advantage: 2.3317e-08 | Prob: 0.49072 | LogProb: -0.67189 | GradNorm: 1007.7 | Time (s): 17.302 | Total Time (m): 19.513
Epoch: 59 | Loss: 9.8586 | Reward: -20.875 | Advantage: 2.4069e-07 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 13054 | Time (s): 14.729 | Total Time (m): 19.759
Epoch: 60 | Loss: -3.0215 | Reward: -20.5 | Advantage: -6.7993e-08 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 938.44 | Time (s): 18.315 | Total Time (m): 20.064
Epoch: 61 | Loss: -0.90945 | Reward: -20 | Advantage: -1.8434e-08 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 309.15 | Time (s): 18.02 | Total Time (m): 20.364
Epoch: 62 | Loss: -9.3306 | Reward: -20.25 | Advantage: -1.9635e-07 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 18891 | Time (s): 25.523 | Total Time (m): 20.79
Epoch: 63 | Loss: -5.9976 | Reward: -20.125 | Advantage: -1.1509e-07 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 15566 | Time (s): 14.425 | Total Time (m): 21.03
Epoch: 64 | Loss: -5.3654 | Reward: -20.5 | Advantage: -1.1185e-07 | Prob: 0.49072 | LogProb: -0.67189 | GradNorm: 4521.3 | Time (s): 17.393 | Total Time (m): 21.32
Epoch: 65 | Loss: 6.7747 | Reward: -20.5 | Advantage: 1.5253e-07 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 1043.6 | Time (s): 18.987 | Total Time (m): 21.637
Epoch: 66 | Loss: -2.1714 | Reward: -20.375 | Advantage: -4.3211e-08 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 725.07 | Time (s): 25.948 | Total Time (m): 22.069
Epoch: 67 | Loss: 3.4627 | Reward: -20.5 | Advantage: 6.6374e-08 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 2605 | Time (s): 24.596 | Total Time (m): 22.479
Epoch: 68 | Loss: -1.9072 | Reward: -20.25 | Advantage: -3.8728e-08 | Prob: 0.49097 | LogProb: -0.67189 | GradNorm: 3131 | Time (s): 15.03 | Total Time (m): 22.729
Epoch: 69 | Loss: 1.5072 | Reward: -20.25 | Advantage: 3.3407e-08 | Prob: 0.49121 | LogProb: -0.67189 | GradNorm: 601.03 | Time (s): 18.731 | Total Time (m): 23.042
Epoch: 70 | Loss: 1.29 | Reward: -20.375 | Advantage: 2.7414e-08 | Prob: 0.49146 | LogProb: -0.67285 | GradNorm: 319.7 | Time (s): 17.634 | Total Time (m): 23.336
Epoch: 71 | Loss: 9.5592 | Reward: -20.875 | Advantage: 2.5807e-07 | Prob: 0.49146 | LogProb: -0.6738 | GradNorm: 1614.3 | Time (s): 23.434 | Total Time (m): 23.726
Epoch: 72 | Loss: 3.5208 | Reward: -20.25 | Advantage: 8.081e-08 | Prob: 0.49194 | LogProb: -0.6738 | GradNorm: 499.26 | Time (s): 19.985 | Total Time (m): 24.059
Epoch: 73 | Loss: -11.493 | Reward: -20.625 | Advantage: -2.848e-07 | Prob: 0.49194 | LogProb: -0.6738 | GradNorm: 5101.8 | Time (s): 14.516 | Total Time (m): 24.301
Epoch: 74 | Loss: 4.3099 | Reward: -20.75 | Advantage: 9.8921e-08 | Prob: 0.49219 | LogProb: -0.6738 | GradNorm: 6229 | Time (s): 17.362 | Total Time (m): 24.59
Epoch: 75 | Loss: -0.38434 | Reward: -20.25 | Advantage: -9.5762e-09 | Prob: 0.49243 | LogProb: -0.67476 | GradNorm: 77.86 | Time (s): 15.607 | Total Time (m): 24.851
Epoch: 76 | Loss: 5.2644 | Reward: -20.125 | Advantage: 1.0046e-07 | Prob: 0.49268 | LogProb: -0.67572 | GradNorm: 14747 | Time (s): 18.717 | Total Time (m): 25.163
Epoch: 77 | Loss: -4.9606 | Reward: -20.625 | Advantage: -1.0748e-07 | Prob: 0.49292 | LogProb: -0.67572 | GradNorm: 6492.5 | Time (s): 16.856 | Total Time (m): 25.443
Epoch: 78 | Loss: 7.2466 | Reward: -20.125 | Advantage: 1.5292e-07 | Prob: 0.49341 | LogProb: -0.67668 | GradNorm: 8835.8 | Time (s): 18.02 | Total Time (m): 25.744
Epoch: 79 | Loss: 1.4802 | Reward: -20.5 | Advantage: 3.2608e-08 | Prob: 0.49365 | LogProb: -0.67764 | GradNorm: 705.1 | Time (s): 17.806 | Total Time (m): 26.041
Epoch: 80 | Loss: -9.244 | Reward: -20.375 | Advantage: -2.0434e-07 | Prob: 0.4939 | LogProb: -0.67764 | GradNorm: 7891.8 | Time (s): 15.354 | Total Time (m): 26.296
Epoch: 81 | Loss: 4.6982 | Reward: -20.125 | Advantage: 9.5761e-08 | Prob: 0.49438 | LogProb: -0.67861 | GradNorm: 4159.8 | Time (s): 18.684 | Total Time (m): 26.608
Epoch: 82 | Loss: -7.165 | Reward: -20.5 | Advantage: -1.6621e-07 | Prob: 0.49487 | LogProb: -0.67957 | GradNorm: 3563.7 | Time (s): 17.371 | Total Time (m): 26.897
Epoch: 83 | Loss: -1.4157 | Reward: -20.75 | Advantage: -3.7934e-08 | Prob: 0.49512 | LogProb: -0.67957 | GradNorm: 863.96 | Time (s): 15.377 | Total Time (m): 27.154
Epoch: 84 | Loss: 7.4236 | Reward: -20.375 | Advantage: 1.3459e-07 | Prob: 0.49561 | LogProb: -0.68053 | GradNorm: 6477.2 | Time (s): 19.445 | Total Time (m): 27.478
Epoch: 85 | Loss: 0.99866 | Reward: -20.375 | Advantage: 2.3682e-08 | Prob: 0.49634 | LogProb: -0.6815 | GradNorm: 420.94 | Time (s): 15.686 | Total Time (m): 27.739
Epoch: 86 | Loss: 1.418 | Reward: -20.125 | Advantage: 2.4141e-08 | Prob: 0.49683 | LogProb: -0.68343 | GradNorm: 888.55 | Time (s): 18.486 | Total Time (m): 28.047
Epoch: 87 | Loss: -0.33484 | Reward: -19.875 | Advantage: -6.7922e-09 | Prob: 0.49756 | LogProb: -0.68343 | GradNorm: 356.13 | Time (s): 19.13 | Total Time (m): 28.366
Epoch: 88 | Loss: 6.889 | Reward: -20.625 | Advantage: 1.4072e-07 | Prob: 0.49829 | LogProb: -0.68537 | GradNorm: 8501.7 | Time (s): 17.422 | Total Time (m): 28.657
Epoch: 89 | Loss: -2.6863 | Reward: -19.75 | Advantage: -5.0222e-08 | Prob: 0.49878 | LogProb: -0.6873 | GradNorm: 1924 | Time (s): 20.286 | Total Time (m): 28.995
Epoch: 90 | Loss: 1.6191 | Reward: -20.25 | Advantage: 3.9039e-08 | Prob: 0.49951 | LogProb: -0.68925 | GradNorm: 2175.4 | Time (s): 18.631 | Total Time (m): 29.305
Epoch: 91 | Loss: -0.30176 | Reward: -20.125 | Advantage: -7.409e-09 | Prob: 0.5 | LogProb: -0.69022 | GradNorm: 111.6 | Time (s): 16.218 | Total Time (m): 29.575
Epoch: 92 | Loss: 6.5622 | Reward: -20 | Advantage: 1.3173e-07 | Prob: 0.50098 | LogProb: -0.6912 | GradNorm: 2470.4 | Time (s): 19.464 | Total Time (m): 29.9
Epoch: 93 | Loss: 4.215 | Reward: -20.875 | Advantage: 9.1489e-08 | Prob: 0.50098 | LogProb: -0.6912 | GradNorm: 860.3 | Time (s): 17.239 | Total Time (m): 30.187
Epoch: 94 | Loss: -0.90997 | Reward: -20.875 | Advantage: -2.3146e-08 | Prob: 0.50146 | LogProb: -0.69022 | GradNorm: 309.36 | Time (s): 25.129 | Total Time (m): 30.606
Epoch: 95 | Loss: -3.7988 | Reward: -20 | Advantage: -7.6463e-08 | Prob: 0.50195 | LogProb: -0.68925 | GradNorm: 459.6 | Time (s): 16.873 | Total Time (m): 30.887
Epoch: 96 | Loss: 1.1154 | Reward: -20.125 | Advantage: 2.4617e-08 | Prob: 0.50195 | LogProb: -0.68925 | GradNorm: 638.84 | Time (s): 16.528 | Total Time (m): 31.163
Epoch: 97 | Loss: -1.8761 | Reward: -20.75 | Advantage: -4.9906e-08 | Prob: 0.50244 | LogProb: -0.68828 | GradNorm: 653.41 | Time (s): 24.024 | Total Time (m): 31.563
