Using cuda device
Step: 124 | Reward: -20.25 | Advantage: -6.4933e-05 | Loss: -1.2568e-07 | Prob: 0.49124 | Log Prob: -0.71083 | Grad Norm: 0.0092532 | Time: 14.261 | Total Time: 6.9752
Step: 128 | Reward: -20.5 | Advantage: 0.00020128 | Loss: -1.1868e-07 | Prob: 0.49059 | Log Prob: -0.64828 | Grad Norm: 0.010407 | Time: 12.04 | Total Time: 7.1758
Step: 132 | Reward: -20.25 | Advantage: -0.00013667 | Loss: 3.1821e-07 | Prob: 0.49004 | Log Prob: -0.64638 | Grad Norm: 0.0087142 | Time: 9.8005 | Total Time: 7.3392
Step: 136 | Reward: -20.5 | Advantage: 0.00015891 | Loss: -1.3219e-08 | Prob: 0.48974 | Log Prob: -0.71388 | Grad Norm: 0.012029 | Time: 10.637 | Total Time: 7.5165
Step: 140 | Reward: -20 | Advantage: -7.1153e-05 | Loss: -2.3119e-08 | Prob: 0.49036 | Log Prob: -0.71262 | Grad Norm: 0.0088193 | Time: 11.584 | Total Time: 7.7095
Step: 144 | Reward: -20.5 | Advantage: 0.00025678 | Loss: 2.2717e-07 | Prob: 0.49081 | Log Prob: -0.7117 | Grad Norm: 0.011399 | Time: 9.9921 | Total Time: 7.8761
Step: 148 | Reward: -20.25 | Advantage: -0.00015495 | Loss: 9.0453e-08 | Prob: 0.49339 | Log Prob: -0.65151 | Grad Norm: 0.013037 | Time: 9.5519 | Total Time: 8.0353
Step: 152 | Reward: -20.25 | Advantage: -0.00010755 | Loss: -2.2114e-07 | Prob: 0.49411 | Log Prob: -0.65371 | Grad Norm: 0.012525 | Time: 10.218 | Total Time: 8.2056
Step: 156 | Reward: -20.25 | Advantage: 1.2627e-06 | Loss: -1.0336e-08 | Prob: 0.49696 | Log Prob: -0.65844 | Grad Norm: 0.0081973 | Time: 14.661 | Total Time: 8.4499
Step: 160 | Reward: -20.75 | Advantage: 5.9465e-05 | Loss: 3.7036e-08 | Prob: 0.49861 | Log Prob: -0.69593 | Grad Norm: 0.009749 | Time: 11.712 | Total Time: 8.6451
Step: 164 | Reward: -20.25 | Advantage: 0.0001668 | Loss: -5.3829e-08 | Prob: 0.50073 | Log Prob: -0.6917 | Grad Norm: 0.011594 | Time: 10.207 | Total Time: 8.8153
Step: 168 | Reward: -20.75 | Advantage: -0.00030098 | Loss: 1.161e-07 | Prob: 0.50325 | Log Prob: -0.67155 | Grad Norm: 0.012007 | Time: 8.6287 | Total Time: 8.9591
Step: 172 | Reward: -20.25 | Advantage: 0.00023343 | Loss: 8.4956e-08 | Prob: 0.50604 | Log Prob: -0.67877 | Grad Norm: 0.01156 | Time: 10.728 | Total Time: 9.1379
Step: 176 | Reward: -20.5 | Advantage: 1.13e-05 | Loss: 0 | Prob: 0.50866 | Log Prob: -0.68275 | Grad Norm: 0.011119 | Time: 9.084 | Total Time: 9.2893
Step: 180 | Reward: -21 | Advantage: 0.0001064 | Loss: 1.3593e-07 | Prob: 0.50941 | Log Prob: -0.6745 | Grad Norm: 0.014126 | Time: 8.9289 | Total Time: 9.4381
Step: 184 | Reward: -21 | Advantage: 0.00030585 | Loss: 1.8072e-08 | Prob: 0.51181 | Log Prob: -0.68713 | Grad Norm: 0.01693 | Time: 12.035 | Total Time: 9.6387
Step: 188 | Reward: -20.25 | Advantage: 0.0002277 | Loss: -5.5539e-08 | Prob: 0.51249 | Log Prob: -0.69186 | Grad Norm: 0.017065 | Time: 9.9493 | Total Time: 9.8045
Step: 192 | Reward: -20.5 | Advantage: -2.4777e-05 | Loss: 1.3701e-07 | Prob: 0.51223 | Log Prob: -0.66899 | Grad Norm: 0.0091986 | Time: 8.2255 | Total Time: 9.9416
Step: 196 | Reward: -20.5 | Advantage: 0.0003472 | Loss: -2.9583e-07 | Prob: 0.51181 | Log Prob: -0.68624 | Grad Norm: 0.0181 | Time: 8.5976 | Total Time: 10.085
Step: 200 | Reward: -20.75 | Advantage: 0.0001544 | Loss: -1.6282e-07 | Prob: 0.50941 | Log Prob: -0.68589 | Grad Norm: 0.01266 | Time: 8.9867 | Total Time: 10.235
Step: 204 | Reward: -20.5 | Advantage: -2.3552e-05 | Loss: 5.1292e-08 | Prob: 0.50708 | Log Prob: -0.68084 | Grad Norm: 0.010909 | Time: 8.3623 | Total Time: 10.374
Step: 208 | Reward: -20 | Advantage: 6.9333e-05 | Loss: 3.6618e-08 | Prob: 0.50515 | Log Prob: -0.68289 | Grad Norm: 0.011593 | Time: 10.224 | Total Time: 10.544
Step: 212 | Reward: -20.75 | Advantage: 0.00017087 | Loss: -2.071e-07 | Prob: 0.50385 | Log Prob: -0.67545 | Grad Norm: 0.012484 | Time: 10.649 | Total Time: 10.722
Step: 216 | Reward: -19.75 | Advantage: 0.00016494 | Loss: 3.0916e-08 | Prob: 0.50227 | Log Prob: -0.68861 | Grad Norm: 0.010119 | Time: 13.742 | Total Time: 10.951
Step: 220 | Reward: -19.75 | Advantage: -7.5103e-05 | Loss: -4.1782e-09 | Prob: 0.50044 | Log Prob: -0.6689 | Grad Norm: 0.0097372 | Time: 15.726 | Total Time: 11.213
Step: 224 | Reward: -20.25 | Advantage: -1.5272e-05 | Loss: -2.3505e-07 | Prob: 0.50059 | Log Prob: -0.69197 | Grad Norm: 0.0078111 | Time: 15.081 | Total Time: 11.464
Step: 228 | Reward: -19.25 | Advantage: 0.00024706 | Loss: -7.7081e-08 | Prob: 0.49914 | Log Prob: -0.69486 | Grad Norm: 0.013678 | Time: 15.459 | Total Time: 11.722
Step: 232 | Reward: -20.5 | Advantage: -0.00015119 | Loss: 2.3719e-07 | Prob: 0.49964 | Log Prob: -0.66792 | Grad Norm: 0.008694 | Time: 12.806 | Total Time: 11.935
Step: 236 | Reward: -20.25 | Advantage: 2.947e-05 | Loss: 1.4094e-07 | Prob: 0.50038 | Log Prob: -0.69238 | Grad Norm: 0.012954 | Time: 16.316 | Total Time: 12.207
Step: 240 | Reward: -20.25 | Advantage: -0.00012929 | Loss: 4.1229e-08 | Prob: 0.50131 | Log Prob: -0.67253 | Grad Norm: 0.0092266 | Time: 11.196 | Total Time: 12.394
Step: 244 | Reward: -20.25 | Advantage: 1.6488e-05 | Loss: 7.3219e-09 | Prob: 0.50242 | Log Prob: -0.67494 | Grad Norm: 0.010051 | Time: 7.7664 | Total Time: 12.523
Step: 248 | Reward: -20 | Advantage: 0.00028743 | Loss: -8.6805e-08 | Prob: 0.5032 | Log Prob: -0.68677 | Grad Norm: 0.010249 | Time: 8.5562 | Total Time: 12.666
Step: 252 | Reward: -20.5 | Advantage: 7.0449e-05 | Loss: -1.7473e-07 | Prob: 0.50538 | Log Prob: -0.68244 | Grad Norm: 0.0091048 | Time: 12.913 | Total Time: 12.881
Step: 256 | Reward: -20.25 | Advantage: 3.662e-05 | Loss: -7.0675e-09 | Prob: 0.50804 | Log Prob: -0.68341 | Grad Norm: 0.010628 | Time: 13.445 | Total Time: 13.105
Step: 260 | Reward: -20.75 | Advantage: 4.1235e-05 | Loss: 1.7219e-07 | Prob: 0.50894 | Log Prob: -0.68441 | Grad Norm: 0.015617 | Time: 8.6148 | Total Time: 13.249
Step: 264 | Reward: -19.75 | Advantage: 7.2655e-05 | Loss: -7.3732e-08 | Prob: 0.51053 | Log Prob: -0.68986 | Grad Norm: 0.010055 | Time: 10.638 | Total Time: 13.426
Step: 268 | Reward: -20.25 | Advantage: -1.646e-06 | Loss: -3.1404e-08 | Prob: 0.51136 | Log Prob: -0.69076 | Grad Norm: 0.012176 | Time: 12.399 | Total Time: 13.633
Step: 272 | Reward: -19.5 | Advantage: 8.6779e-06 | Loss: -3.1487e-08 | Prob: 0.51184 | Log Prob: -0.66973 | Grad Norm: 0.011198 | Time: 18.326 | Total Time: 13.938
Step: 276 | Reward: -20.5 | Advantage: -6.3082e-05 | Loss: 1.1903e-07 | Prob: 0.51254 | Log Prob: -0.69466 | Grad Norm: 0.010234 | Time: 10.431 | Total Time: 14.112
Step: 280 | Reward: -21 | Advantage: -3.9428e-05 | Loss: -3.1926e-07 | Prob: 0.51274 | Log Prob: -0.69621 | Grad Norm: 0.015145 | Time: 8.5591 | Total Time: 14.255
Step: 284 | Reward: -20.25 | Advantage: 3.4527e-05 | Loss: -8.207e-08 | Prob: 0.51359 | Log Prob: -0.66633 | Grad Norm: 0.0085322 | Time: 11.518 | Total Time: 14.447
Step: 288 | Reward: -20.5 | Advantage: -0.00015577 | Loss: -8.4547e-08 | Prob: 0.51468 | Log Prob: -0.69714 | Grad Norm: 0.0095922 | Time: 10.127 | Total Time: 14.616
Step: 292 | Reward: -20.75 | Advantage: 0.0001185 | Loss: -1.3204e-07 | Prob: 0.51574 | Log Prob: -0.66215 | Grad Norm: 0.0096085 | Time: 9.6249 | Total Time: 14.776
Step: 296 | Reward: -19.75 | Advantage: -6.637e-05 | Loss: -2.2445e-08 | Prob: 0.51805 | Log Prob: -0.7049 | Grad Norm: 0.0079836 | Time: 10.474 | Total Time: 14.951
Step: 300 | Reward: -21 | Advantage: 0.00023508 | Loss: 1.7169e-07 | Prob: 0.51874 | Log Prob: -0.65636 | Grad Norm: 0.016196 | Time: 7.2323 | Total Time: 15.071
Step: 304 | Reward: -20.5 | Advantage: -0.00016593 | Loss: -9.454e-08 | Prob: 0.52114 | Log Prob: -0.70833 | Grad Norm: 0.0093661 | Time: 9.2467 | Total Time: 15.225
Step: 308 | Reward: -20 | Advantage: 0.00013988 | Loss: -5.7838e-08 | Prob: 0.52373 | Log Prob: -0.64679 | Grad Norm: 0.0084598 | Time: 13.426 | Total Time: 15.449
Step: 312 | Reward: -20.5 | Advantage: 0.00012071 | Loss: 2.8172e-07 | Prob: 0.52593 | Log Prob: -0.64259 | Grad Norm: 0.00886 | Time: 11.947 | Total Time: 15.648
Step: 316 | Reward: -20.75 | Advantage: 0.00014691 | Loss: 2.1998e-07 | Prob: 0.52933 | Log Prob: -0.63614 | Grad Norm: 0.016939 | Time: 9.4691 | Total Time: 15.806
Step: 320 | Reward: -21 | Advantage: 9.9296e-05 | Loss: -2.0991e-07 | Prob: 0.53336 | Log Prob: -0.62855 | Grad Norm: 0.014606 | Time: 9.5493 | Total Time: 15.965
Step: 324 | Reward: -20.75 | Advantage: 0.00011081 | Loss: 4.8581e-08 | Prob: 0.53739 | Log Prob: -0.62104 | Grad Norm: 0.0092737 | Time: 7.9536 | Total Time: 16.098
Step: 328 | Reward: -20.75 | Advantage: 0.00010705 | Loss: 2.27e-08 | Prob: 0.54 | Log Prob: -0.61619 | Grad Norm: 0.012173 | Time: 7.6407 | Total Time: 16.225
Step: 332 | Reward: -20.25 | Advantage: -2.2139e-05 | Loss: -7.3781e-08 | Prob: 0.5443 | Log Prob: -0.60825 | Grad Norm: 0.0088322 | Time: 9.7928 | Total Time: 16.388
Step: 336 | Reward: -20.5 | Advantage: -9.2623e-06 | Loss: -3.1649e-08 | Prob: 0.54739 | Log Prob: -0.60259 | Grad Norm: 0.007988 | Time: 8.0063 | Total Time: 16.522
Step: 340 | Reward: -20.75 | Advantage: -0.00010939 | Loss: -1.359e-07 | Prob: 0.55071 | Log Prob: -0.77696 | Grad Norm: 0.015739 | Time: 7.5146 | Total Time: 16.647
Step: 344 | Reward: -20.25 | Advantage: -2.0791e-05 | Loss: 1.1765e-07 | Prob: 0.55347 | Log Prob: -0.59155 | Grad Norm: 0.0084565 | Time: 9.2848 | Total Time: 16.802
Step: 348 | Reward: -20.5 | Advantage: -4.2739e-06 | Loss: -2.3686e-07 | Prob: 0.55638 | Log Prob: -0.5863 | Grad Norm: 0.0082748 | Time: 8.9737 | Total Time: 16.951
Step: 352 | Reward: -20.75 | Advantage: -0.00010382 | Loss: 1.8109e-07 | Prob: 0.55858 | Log Prob: -0.79308 | Grad Norm: 0.013789 | Time: 9.5921 | Total Time: 17.111
Step: 356 | Reward: -20.75 | Advantage: 3.3229e-05 | Loss: -9.8937e-08 | Prob: 0.56038 | Log Prob: -0.79833 | Grad Norm: 0.012357 | Time: 7.7897 | Total Time: 17.241
Step: 360 | Reward: -20.75 | Advantage: -4.6136e-05 | Loss: 1.1941e-07 | Prob: 0.56203 | Log Prob: -0.57619 | Grad Norm: 0.011055 | Time: 6.6004 | Total Time: 17.351
Step: 364 | Reward: -20.5 | Advantage: -7.8237e-06 | Loss: 6.6505e-08 | Prob: 0.56442 | Log Prob: -0.80375 | Grad Norm: 0.013692 | Time: 7.8072 | Total Time: 17.481
Step: 368 | Reward: -21 | Advantage: 0.00014697 | Loss: -9.5964e-08 | Prob: 0.56554 | Log Prob: -0.56997 | Grad Norm: 0.013404 | Time: 6.6154 | Total Time: 17.591
Step: 372 | Reward: -20.5 | Advantage: -4.6137e-05 | Loss: -1.4619e-07 | Prob: 0.56826 | Log Prob: -0.81442 | Grad Norm: 0.0095886 | Time: 8.8231 | Total Time: 17.738
Step: 376 | Reward: -20.75 | Advantage: -5.1974e-05 | Loss: -2.1746e-07 | Prob: 0.56977 | Log Prob: -0.81786 | Grad Norm: 0.012445 | Time: 6.4985 | Total Time: 17.847
Step: 380 | Reward: -21 | Advantage: 3.0905e-05 | Loss: -1.569e-07 | Prob: 0.57138 | Log Prob: -0.5597 | Grad Norm: 0.013226 | Time: 8.1581 | Total Time: 17.983
Step: 384 | Reward: -21 | Advantage: -7.3826e-05 | Loss: -2.7131e-07 | Prob: 0.57343 | Log Prob: -0.82466 | Grad Norm: 0.017027 | Time: 9.9904 | Total Time: 18.149
Step: 388 | Reward: -20.5 | Advantage: 0.00011763 | Loss: 1.7016e-07 | Prob: 0.57602 | Log Prob: -0.55162 | Grad Norm: 0.009238 | Time: 10.126 | Total Time: 18.318
Step: 392 | Reward: -20.75 | Advantage: -2.8988e-05 | Loss: -2.3436e-07 | Prob: 0.57792 | Log Prob: -0.54831 | Grad Norm: 0.0085358 | Time: 6.9444 | Total Time: 18.434
