Using device: cuda
Epoch: 36 | Loss: -0.46552 | Reward: -19.688 | Advantage: -0.67136 | Prob: 0.49878 | LogProg: -0.69341 | Time (s): 40.627 | Total Time (m): 21.314
Epoch: 37 | Loss: -0.51742 | Reward: -20.344 | Advantage: -0.74617 | Prob: 0.49878 | LogProg: -0.69344 | Time (s): 35.849 | Total Time (m): 21.912
Epoch: 38 | Loss: -0.53546 | Reward: -21 | Advantage: -0.77246 | Prob: 0.49854 | LogProg: -0.69319 | Time (s): 35.865 | Total Time (m): 22.509
Epoch: 39 | Loss: -0.46021 | Reward: -19.031 | Advantage: -0.66396 | Prob: 0.49854 | LogProg: -0.69312 | Time (s): 39.734 | Total Time (m): 23.172
Epoch: 40 | Loss: -0.50403 | Reward: -20.344 | Advantage: -0.72727 | Prob: 0.49854 | LogProg: -0.69305 | Time (s): 39.63 | Total Time (m): 23.832
Epoch: 41 | Loss: -0.46228 | Reward: -19.688 | Advantage: -0.66702 | Prob: 0.49854 | LogProg: -0.69306 | Time (s): 38.488 | Total Time (m): 24.474
Epoch: 42 | Loss: -0.46236 | Reward: -19.031 | Advantage: -0.66704 | Prob: 0.49854 | LogProg: -0.69316 | Time (s): 39.952 | Total Time (m): 25.139
Epoch: 43 | Loss: -0.55478 | Reward: -21 | Advantage: -0.80035 | Prob: 0.49854 | LogProg: -0.69317 | Time (s): 33.566 | Total Time (m): 25.699
Epoch: 44 | Loss: -0.55062 | Reward: -21 | Advantage: -0.79441 | Prob: 0.49854 | LogProg: -0.69312 | Time (s): 33.794 | Total Time (m): 26.262
Epoch: 45 | Loss: -0.49792 | Reward: -20.344 | Advantage: -0.71827 | Prob: 0.49854 | LogProg: -0.69322 | Time (s): 36.522 | Total Time (m): 26.871
Epoch: 46 | Loss: -0.55549 | Reward: -21 | Advantage: -0.8015 | Prob: 0.49854 | LogProg: -0.69307 | Time (s): 33.739 | Total Time (m): 27.433
Epoch: 47 | Loss: -0.55937 | Reward: -21 | Advantage: -0.80704 | Prob: 0.49854 | LogProg: -0.6931 | Time (s): 32.516 | Total Time (m): 27.975
Epoch: 48 | Loss: -0.50832 | Reward: -20.344 | Advantage: -0.73337 | Prob: 0.49854 | LogProg: -0.69312 | Time (s): 38.306 | Total Time (m): 28.613
