Using device: cuda
Epoch: 56 | Loss: -3.3546e-08 | Reward: -0.019 | Time (s): 6.9954 | Total Time (m): 19.469
Epoch: 57 | Loss: -3.1761e-08 | Reward: -0.022 | Time (s): 19.458 | Total Time (m): 19.793
Epoch: 58 | Loss: 1.3767e-07 | Reward: -0.0165 | Time (s): 22.104 | Total Time (m): 20.161
Epoch: 59 | Loss: 7.0896e-08 | Reward: -0.0185 | Time (s): 21.843 | Total Time (m): 20.525
Epoch: 60 | Loss: 1.0715e-07 | Reward: -0.014 | Time (s): 21.193 | Total Time (m): 20.879
Epoch: 61 | Loss: 7.9346e-09 | Reward: -0.017 | Time (s): 21.862 | Total Time (m): 21.243
Epoch: 62 | Loss: 8.3878e-08 | Reward: -0.024 | Time (s): 22.133 | Total Time (m): 21.612
Epoch: 63 | Loss: -6.8871e-08 | Reward: -0.016 | Time (s): 21.443 | Total Time (m): 21.969
Epoch: 64 | Loss: 2.5459e-07 | Reward: -0.018 | Time (s): 21.368 | Total Time (m): 22.325
Epoch: 65 | Loss: 1.1089e-07 | Reward: -0.0175 | Time (s): 22.122 | Total Time (m): 22.694
Epoch: 66 | Loss: 7.2678e-08 | Reward: -0.02 | Time (s): 22.434 | Total Time (m): 23.068
Epoch: 67 | Loss: 1.0839e-07 | Reward: -0.0205 | Time (s): 22.044 | Total Time (m): 23.435
Epoch: 68 | Loss: 1.141e-07 | Reward: -0.018 | Time (s): 22.455 | Total Time (m): 23.81
Epoch: 69 | Loss: 2.1561e-08 | Reward: -0.018 | Time (s): 21.894 | Total Time (m): 24.174
Epoch: 70 | Loss: 8.0881e-08 | Reward: -0.018 | Time (s): 21.835 | Total Time (m): 24.538
Epoch: 71 | Loss: 2.2543e-07 | Reward: -0.0205 | Time (s): 21.97 | Total Time (m): 24.905
Epoch: 72 | Loss: 1.3549e-07 | Reward: -0.02 | Time (s): 22.146 | Total Time (m): 25.274
Epoch: 73 | Loss: 2.18e-07 | Reward: -0.0205 | Time (s): 21.476 | Total Time (m): 25.632
Epoch: 74 | Loss: 3.9299e-08 | Reward: -0.0205 | Time (s): 21.651 | Total Time (m): 25.992
Epoch: 75 | Loss: 1.3084e-08 | Reward: -0.0185 | Time (s): 2.4432 | Total Time (m): 26.033
Epoch: 76 | Loss: 2.0657e-09 | Reward: -0.0165 | Time (s): 10.7 | Total Time (m): 26.212
Epoch: 77 | Loss: -5.4214e-08 | Reward: -0.0185 | Time (s): 21.493 | Total Time (m): 26.57
Epoch: 78 | Loss: 2.2911e-07 | Reward: -0.019 | Time (s): 21.617 | Total Time (m): 26.93
Epoch: 79 | Loss: 3.604e-07 | Reward: -0.022 | Time (s): 21.286 | Total Time (m): 27.285
Epoch: 80 | Loss: 7.0435e-08 | Reward: -0.0185 | Time (s): 21.695 | Total Time (m): 27.646
Epoch: 81 | Loss: 1.3107e-07 | Reward: -0.0205 | Time (s): 22.111 | Total Time (m): 28.015
Epoch: 82 | Loss: -3.2299e-08 | Reward: -0.023 | Time (s): 21.72 | Total Time (m): 28.377
Epoch: 83 | Loss: 3.2425e-10 | Reward: -0.0175 | Time (s): 21.619 | Total Time (m): 28.737
Epoch: 84 | Loss: 4.3762e-08 | Reward: -0.019 | Time (s): 22.636 | Total Time (m): 29.114
Epoch: 85 | Loss: 7.2075e-08 | Reward: -0.019 | Time (s): 2.4841 | Total Time (m): 29.156
Epoch: 86 | Loss: 1.8117e-07 | Reward: -0.0185 | Time (s): 10.748 | Total Time (m): 29.335
Epoch: 87 | Loss: 1.9525e-07 | Reward: -0.022 | Time (s): 21.49 | Total Time (m): 29.693
Epoch: 88 | Loss: 3.7575e-08 | Reward: -0.025 | Time (s): 21.48 | Total Time (m): 30.051
Epoch: 89 | Loss: -6.0028e-08 | Reward: -0.0155 | Time (s): 21.339 | Total Time (m): 30.407
Epoch: 90 | Loss: 1.759e-07 | Reward: -0.0205 | Time (s): 21.515 | Total Time (m): 30.765
Epoch: 91 | Loss: 1.5196e-08 | Reward: -0.0185 | Time (s): 22.183 | Total Time (m): 31.135
Epoch: 92 | Loss: -1.8907e-07 | Reward: -0.024 | Time (s): 21.941 | Total Time (m): 31.501
Epoch: 93 | Loss: -1.9112e-07 | Reward: -0.024 | Time (s): 21.825 | Total Time (m): 31.865
Epoch: 94 | Loss: 7.0786e-08 | Reward: -0.024 | Time (s): 21.773 | Total Time (m): 32.227
Epoch: 95 | Loss: 8.3572e-08 | Reward: -0.022 | Time (s): 21.232 | Total Time (m): 32.581
Epoch: 96 | Loss: 3.6385e-08 | Reward: -0.021 | Time (s): 21.92 | Total Time (m): 32.947
Epoch: 97 | Loss: 6.2508e-08 | Reward: -0.0195 | Time (s): 21.341 | Total Time (m): 33.302
Epoch: 98 | Loss: 1.7913e-07 | Reward: -0.0195 | Time (s): 21.73 | Total Time (m): 33.664
Epoch: 99 | Loss: -3.1242e-08 | Reward: -0.0205 | Time (s): 21.282 | Total Time (m): 34.019
Epoch: 100 | Loss: 3.0515e-07 | Reward: -0.0215 | Time (s): 2.4284 | Total Time (m): 34.06
Epoch: 101 | Loss: 1.9455e-09 | Reward: -0.016 | Time (s): 8.8613 | Total Time (m): 34.207
Epoch: 102 | Loss: 4.4635e-07 | Reward: -0.019 | Time (s): 19.658 | Total Time (m): 34.535
Epoch: 103 | Loss: 7.4493e-08 | Reward: -0.02 | Time (s): 21.477 | Total Time (m): 34.893
Epoch: 104 | Loss: 4.7829e-08 | Reward: -0.0155 | Time (s): 22.171 | Total Time (m): 35.262
Epoch: 105 | Loss: 3.0101e-07 | Reward: -0.019 | Time (s): 22.263 | Total Time (m): 35.633
Epoch: 106 | Loss: 3.5025e-08 | Reward: -0.017 | Time (s): 22.597 | Total Time (m): 36.01
Epoch: 107 | Loss: 7.3639e-08 | Reward: -0.0235 | Time (s): 22.583 | Total Time (m): 36.386
Epoch: 108 | Loss: 1.1603e-07 | Reward: -0.0175 | Time (s): 22.367 | Total Time (m): 36.759
Epoch: 109 | Loss: 3.4959e-07 | Reward: -0.0175 | Time (s): 22.404 | Total Time (m): 37.133
Epoch: 110 | Loss: 7.2151e-08 | Reward: -0.014 | Time (s): 22.518 | Total Time (m): 37.508
Epoch: 111 | Loss: 1.88e-07 | Reward: -0.023 | Time (s): 22.268 | Total Time (m): 37.879
Epoch: 112 | Loss: 1.1042e-07 | Reward: -0.02 | Time (s): 22.334 | Total Time (m): 38.251
Epoch: 113 | Loss: 3.1021e-07 | Reward: -0.0205 | Time (s): 21.593 | Total Time (m): 38.611
Epoch: 114 | Loss: 3.1464e-07 | Reward: -0.0185 | Time (s): 21.744 | Total Time (m): 38.974
Epoch: 115 | Loss: 1.7567e-07 | Reward: -0.023 | Time (s): 2.4468 | Total Time (m): 39.014
Epoch: 116 | Loss: 2.0984e-07 | Reward: -0.0155 | Time (s): 9.0466 | Total Time (m): 39.165
Epoch: 117 | Loss: 5.3436e-08 | Reward: -0.02 | Time (s): 19.653 | Total Time (m): 39.493
Epoch: 118 | Loss: 1.4879e-07 | Reward: -0.0215 | Time (s): 21.89 | Total Time (m): 39.858
Epoch: 119 | Loss: 1.9247e-07 | Reward: -0.0155 | Time (s): 21.59 | Total Time (m): 40.217
Epoch: 120 | Loss: -1.8444e-08 | Reward: -0.0185 | Time (s): 21.562 | Total Time (m): 40.577
Epoch: 121 | Loss: 6.144e-08 | Reward: -0.0195 | Time (s): 21.865 | Total Time (m): 40.941
Epoch: 122 | Loss: 4.5952e-08 | Reward: -0.0195 | Time (s): 21.733 | Total Time (m): 41.303
Epoch: 123 | Loss: 2.8976e-07 | Reward: -0.018 | Time (s): 21.863 | Total Time (m): 41.668
Epoch: 124 | Loss: 7.8285e-08 | Reward: -0.021 | Time (s): 22.195 | Total Time (m): 42.038
Epoch: 125 | Loss: 1.1996e-07 | Reward: -0.018 | Time (s): 21.767 | Total Time (m): 42.401
Epoch: 126 | Loss: -1.7561e-07 | Reward: -0.024 | Time (s): 2.4121 | Total Time (m): 42.441
