Using device: cuda
Epoch: 31 | Loss: -0.22606 | Reward: -20.344 | Advantage: -0.75099 | Prob: 0.50342 | LogProb: -0.29807 | GradNorm: 0.0013332 | Time (s): 18.186 | Total Time (m): 10.482
Epoch: 32 | Loss: -0.21511 | Reward: -20.344 | Advantage: -0.71451 | Prob: 0.50342 | LogProb: -0.29807 | GradNorm: 0.0038907 | Time (s): 20.351 | Total Time (m): 10.822
Epoch: 33 | Loss: -0.20444 | Reward: -19.031 | Advantage: -0.67907 | Prob: 0.50391 | LogProb: -0.29765 | GradNorm: 0.0040773 | Time (s): 19.376 | Total Time (m): 11.145
Epoch: 34 | Loss: -0.22097 | Reward: -20.344 | Advantage: -0.73405 | Prob: 0.50391 | LogProb: -0.29765 | GradNorm: 0.0015465 | Time (s): 20.383 | Total Time (m): 11.484
Epoch: 35 | Loss: -0.20521 | Reward: -19.688 | Advantage: -0.68173 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0018719 | Time (s): 15.83 | Total Time (m): 11.748
Epoch: 36 | Loss: -0.21793 | Reward: -20.344 | Advantage: -0.72407 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0052285 | Time (s): 19.072 | Total Time (m): 12.066
Epoch: 37 | Loss: -0.23107 | Reward: -20.344 | Advantage: -0.76755 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0020175 | Time (s): 17.356 | Total Time (m): 12.355
Epoch: 38 | Loss: -0.21067 | Reward: -19.688 | Advantage: -0.69976 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0043422 | Time (s): 20.766 | Total Time (m): 12.701
Epoch: 39 | Loss: -0.22895 | Reward: -21 | Advantage: -0.76069 | Prob: 0.50488 | LogProb: -0.29681 | GradNorm: 0.0059225 | Time (s): 20.554 | Total Time (m): 13.044
Epoch: 40 | Loss: -0.21341 | Reward: -20.344 | Advantage: -0.70868 | Prob: 0.50488 | LogProb: -0.29681 | GradNorm: 0.011237 | Time (s): 19.962 | Total Time (m): 13.377
Epoch: 41 | Loss: -0.23576 | Reward: -21 | Advantage: -0.78318 | Prob: 0.50488 | LogProb: -0.29681 | GradNorm: 0.0015403 | Time (s): 17.903 | Total Time (m): 13.675
Epoch: 42 | Loss: -0.18682 | Reward: -18.375 | Advantage: -0.62068 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0024531 | Time (s): 21.674 | Total Time (m): 14.036
Epoch: 43 | Loss: -0.21793 | Reward: -20.344 | Advantage: -0.724 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0017294 | Time (s): 20.444 | Total Time (m): 14.377
Epoch: 44 | Loss: -0.22626 | Reward: -20.344 | Advantage: -0.75178 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0046481 | Time (s): 18.132 | Total Time (m): 14.679
Epoch: 45 | Loss: -0.22934 | Reward: -21 | Advantage: -0.76212 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0081601 | Time (s): 19.775 | Total Time (m): 15.009
Epoch: 46 | Loss: -0.1882 | Reward: -18.375 | Advantage: -0.62525 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0025373 | Time (s): 21.098 | Total Time (m): 15.36
Epoch: 47 | Loss: -0.22926 | Reward: -20.344 | Advantage: -0.76143 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0078532 | Time (s): 17.818 | Total Time (m): 15.657
Epoch: 48 | Loss: -0.21783 | Reward: -20.344 | Advantage: -0.72406 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.013183 | Time (s): 20.622 | Total Time (m): 16.001
Epoch: 49 | Loss: -0.22994 | Reward: -21 | Advantage: -0.76404 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0053087 | Time (s): 19.406 | Total Time (m): 16.324
Epoch: 50 | Loss: -0.19431 | Reward: -19.031 | Advantage: -0.64549 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0025716 | Time (s): 20.684 | Total Time (m): 16.669
Epoch: 51 | Loss: -0.19924 | Reward: -19.688 | Advantage: -0.66177 | Prob: 0.50537 | LogProb: -0.29681 | GradNorm: 0.003305 | Time (s): 24.374 | Total Time (m): 17.075
Epoch: 52 | Loss: -0.20133 | Reward: -19.688 | Advantage: -0.66903 | Prob: 0.50488 | LogProb: -0.29681 | GradNorm: 0.0074704 | Time (s): 20.884 | Total Time (m): 17.423
Epoch: 53 | Loss: -0.24112 | Reward: -21 | Advantage: -0.8011 | Prob: 0.50488 | LogProb: -0.29681 | GradNorm: 0.0035012 | Time (s): 16.821 | Total Time (m): 17.704
Epoch: 54 | Loss: -0.2204 | Reward: -20.344 | Advantage: -0.73211 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0040102 | Time (s): 18.422 | Total Time (m): 18.011
Epoch: 55 | Loss: -0.21413 | Reward: -19.688 | Advantage: -0.71152 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0082325 | Time (s): 19.901 | Total Time (m): 18.343
Epoch: 56 | Loss: -0.21686 | Reward: -19.688 | Advantage: -0.7205 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0031167 | Time (s): 18.237 | Total Time (m): 18.646
Epoch: 57 | Loss: -0.22159 | Reward: -20.344 | Advantage: -0.73617 | Prob: 0.50391 | LogProb: -0.29765 | GradNorm: 0.0027756 | Time (s): 16.031 | Total Time (m): 18.914
Epoch: 58 | Loss: -0.20434 | Reward: -19.031 | Advantage: -0.67871 | Prob: 0.50391 | LogProb: -0.29765 | GradNorm: 0.0041383 | Time (s): 19.887 | Total Time (m): 19.245
Epoch: 59 | Loss: -0.20593 | Reward: -19.688 | Advantage: -0.68399 | Prob: 0.50391 | LogProb: -0.29765 | GradNorm: 0.0053957 | Time (s): 18.323 | Total Time (m): 19.55
Epoch: 60 | Loss: -0.23568 | Reward: -21 | Advantage: -0.7832 | Prob: 0.50342 | LogProb: -0.29807 | GradNorm: 0.011459 | Time (s): 18.955 | Total Time (m): 19.866
Epoch: 61 | Loss: -0.23111 | Reward: -21 | Advantage: -0.76773 | Prob: 0.50342 | LogProb: -0.29807 | GradNorm: 0.0026879 | Time (s): 19.493 | Total Time (m): 20.191
Epoch: 62 | Loss: -0.20599 | Reward: -19.688 | Advantage: -0.68423 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0032494 | Time (s): 20.664 | Total Time (m): 20.536
Epoch: 63 | Loss: -0.21703 | Reward: -20.344 | Advantage: -0.721 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0020552 | Time (s): 21.323 | Total Time (m): 20.891
Epoch: 64 | Loss: -0.21655 | Reward: -19.688 | Advantage: -0.71933 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.001653 | Time (s): 18.869 | Total Time (m): 21.206
Epoch: 65 | Loss: -0.20535 | Reward: -19.031 | Advantage: -0.68207 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0054369 | Time (s): 18.974 | Total Time (m): 21.522
Epoch: 66 | Loss: -0.20277 | Reward: -19.688 | Advantage: -0.67357 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0016785 | Time (s): 20.134 | Total Time (m): 21.857
Epoch: 67 | Loss: -0.18327 | Reward: -17.719 | Advantage: -0.60868 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0059885 | Time (s): 18.831 | Total Time (m): 22.171
