Using device: cuda
Epoch: 31 | Loss: 0.51321 | Reward: -20.344 | Advantage: -0.7402 | Prob: 0.49951 | LogProb: 0.69706 | GradNorm: 0.012888 | Time (s): 20.952 | Total Time (m): 11.147
Epoch: 32 | Loss: 0.50571 | Reward: -20.344 | Advantage: -0.72956 | Prob: 0.49951 | LogProb: 0.69657 | GradNorm: 0.0048168 | Time (s): 20.907 | Total Time (m): 11.496
Epoch: 33 | Loss: 0.55285 | Reward: -21 | Advantage: -0.7976 | Prob: 0.49976 | LogProb: 0.69608 | GradNorm: 0.0040748 | Time (s): 20.562 | Total Time (m): 11.839
Epoch: 34 | Loss: 0.51899 | Reward: -20.344 | Advantage: -0.74885 | Prob: 0.5 | LogProb: 0.69657 | GradNorm: 0.0053304 | Time (s): 20.871 | Total Time (m): 12.186
Epoch: 35 | Loss: 0.50015 | Reward: -20.344 | Advantage: -0.72166 | Prob: 0.5 | LogProb: 0.69608 | GradNorm: 0.0035055 | Time (s): 21.225 | Total Time (m): 12.54
Epoch: 36 | Loss: 0.50018 | Reward: -20.344 | Advantage: -0.72175 | Prob: 0.5 | LogProb: 0.69608 | GradNorm: 0.0078286 | Time (s): 21.866 | Total Time (m): 12.905
Epoch: 37 | Loss: 0.5391 | Reward: -21 | Advantage: -0.77785 | Prob: 0.5 | LogProb: 0.69608 | GradNorm: 0.0095608 | Time (s): 20.586 | Total Time (m): 13.248
Epoch: 38 | Loss: 0.52177 | Reward: -21 | Advantage: -0.75284 | Prob: 0.5 | LogProb: 0.69559 | GradNorm: 0.0019414 | Time (s): 20.968 | Total Time (m): 13.597
Epoch: 39 | Loss: 0.47373 | Reward: -19.688 | Advantage: -0.68347 | Prob: 0.5 | LogProb: 0.69559 | GradNorm: 0.0071274 | Time (s): 24.231 | Total Time (m): 14.001
Epoch: 40 | Loss: 0.52854 | Reward: -21 | Advantage: -0.7625 | Prob: 0.50049 | LogProb: 0.6951 | GradNorm: 0.0019567 | Time (s): 21.765 | Total Time (m): 14.364
Epoch: 41 | Loss: 0.42611 | Reward: -18.375 | Advantage: -0.6147 | Prob: 0.50049 | LogProb: 0.6951 | GradNorm: 0.0032698 | Time (s): 25.049 | Total Time (m): 14.781
Epoch: 42 | Loss: 0.46449 | Reward: -19.688 | Advantage: -0.66999 | Prob: 0.50049 | LogProb: 0.69461 | GradNorm: 0.0073708 | Time (s): 21.898 | Total Time (m): 15.146
Epoch: 43 | Loss: 0.47752 | Reward: -19.688 | Advantage: -0.6888 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.0014171 | Time (s): 23.653 | Total Time (m): 15.54
Epoch: 44 | Loss: 0.44358 | Reward: -19.031 | Advantage: -0.63992 | Prob: 0.50098 | LogProb: 0.69461 | GradNorm: 0.0055206 | Time (s): 22.652 | Total Time (m): 15.918
Epoch: 45 | Loss: 0.47689 | Reward: -20.344 | Advantage: -0.68798 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.010508 | Time (s): 24.854 | Total Time (m): 16.332
Epoch: 46 | Loss: 0.47976 | Reward: -19.688 | Advantage: -0.69211 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.0096131 | Time (s): 22.648 | Total Time (m): 16.71
Epoch: 47 | Loss: 0.50753 | Reward: -20.344 | Advantage: -0.73218 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.0062716 | Time (s): 20.129 | Total Time (m): 17.045
Epoch: 48 | Loss: 0.49575 | Reward: -20.344 | Advantage: -0.71516 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.0057696 | Time (s): 22.855 | Total Time (m): 17.426
Epoch: 49 | Loss: 0.44395 | Reward: -19.031 | Advantage: -0.64043 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.0023121 | Time (s): 21.352 | Total Time (m): 17.782
Epoch: 50 | Loss: 0.526 | Reward: -21 | Advantage: -0.75877 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.010788 | Time (s): 24.063 | Total Time (m): 18.183
Epoch: 51 | Loss: 0.53194 | Reward: -21 | Advantage: -0.76735 | Prob: 0.50049 | LogProb: 0.69461 | GradNorm: 0.0033487 | Time (s): 21.277 | Total Time (m): 18.538
Epoch: 52 | Loss: 0.4664 | Reward: -19.031 | Advantage: -0.6728 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.0067043 | Time (s): 21.249 | Total Time (m): 18.892
Epoch: 53 | Loss: 0.4923 | Reward: -20.344 | Advantage: -0.71015 | Prob: 0.50049 | LogProb: 0.69461 | GradNorm: 0.0072141 | Time (s): 20.752 | Total Time (m): 19.238
Epoch: 54 | Loss: 0.47096 | Reward: -19.688 | Advantage: -0.67938 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.0011887 | Time (s): 24.263 | Total Time (m): 19.642
Epoch: 55 | Loss: 0.42482 | Reward: -18.375 | Advantage: -0.61282 | Prob: 0.50098 | LogProb: 0.69461 | GradNorm: 0.010779 | Time (s): 22.781 | Total Time (m): 20.022
Epoch: 56 | Loss: 0.47723 | Reward: -20.344 | Advantage: -0.68845 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.012908 | Time (s): 24.697 | Total Time (m): 20.433
Epoch: 57 | Loss: 0.46989 | Reward: -19.688 | Advantage: -0.67787 | Prob: 0.50049 | LogProb: 0.69461 | GradNorm: 0.0097869 | Time (s): 17.058 | Total Time (m): 20.718
Epoch: 58 | Loss: 0.52652 | Reward: -20.344 | Advantage: -0.75951 | Prob: 0.50049 | LogProb: 0.69461 | GradNorm: 0.0015992 | Time (s): 15.894 | Total Time (m): 20.982
Epoch: 59 | Loss: 0.47237 | Reward: -19.688 | Advantage: -0.68138 | Prob: 0.50049 | LogProb: 0.6951 | GradNorm: 0.013348 | Time (s): 20.484 | Total Time (m): 21.324
Epoch: 60 | Loss: 0.47241 | Reward: -19.688 | Advantage: -0.68146 | Prob: 0.50049 | LogProb: 0.69461 | GradNorm: 0.0012493 | Time (s): 20.403 | Total Time (m): 21.664
Epoch: 61 | Loss: 0.52419 | Reward: -20.344 | Advantage: -0.75614 | Prob: 0.50098 | LogProb: 0.6951 | GradNorm: 0.0037063 | Time (s): 17.563 | Total Time (m): 21.957
Epoch: 62 | Loss: 0.51763 | Reward: -20.344 | Advantage: -0.74668 | Prob: 0.50049 | LogProb: 0.69412 | GradNorm: 0.016804 | Time (s): 18.879 | Total Time (m): 22.271
Epoch: 63 | Loss: 0.50333 | Reward: -20.344 | Advantage: -0.72603 | Prob: 0.50049 | LogProb: 0.69461 | GradNorm: 0.0055571 | Time (s): 19.856 | Total Time (m): 22.602
Epoch: 64 | Loss: 0.50513 | Reward: -20.344 | Advantage: -0.72861 | Prob: 0.50049 | LogProb: 0.6951 | GradNorm: 0.009984 | Time (s): 19.992 | Total Time (m): 22.935
Epoch: 65 | Loss: 0.50621 | Reward: -20.344 | Advantage: -0.73021 | Prob: 0.50049 | LogProb: 0.6951 | GradNorm: 0.0060236 | Time (s): 20.086 | Total Time (m): 23.27
Epoch: 66 | Loss: 0.4926 | Reward: -20.344 | Advantage: -0.7106 | Prob: 0.50049 | LogProb: 0.69559 | GradNorm: 0.0025633 | Time (s): 20.326 | Total Time (m): 23.609
Epoch: 67 | Loss: 0.5318 | Reward: -21 | Advantage: -0.76721 | Prob: 0.50049 | LogProb: 0.6951 | GradNorm: 0.0039608 | Time (s): 18.856 | Total Time (m): 23.923
Epoch: 68 | Loss: 0.48561 | Reward: -20.344 | Advantage: -0.70061 | Prob: 0.5 | LogProb: 0.69559 | GradNorm: 0.0012589 | Time (s): 20.443 | Total Time (m): 24.264
Epoch: 69 | Loss: 0.3549 | Reward: -17.062 | Advantage: -0.51202 | Prob: 0.50049 | LogProb: 0.69559 | GradNorm: 0.0082976 | Time (s): 19.192 | Total Time (m): 24.584
Epoch: 70 | Loss: 0.50659 | Reward: -20.344 | Advantage: -0.73095 | Prob: 0.5 | LogProb: 0.69559 | GradNorm: 0.003971 | Time (s): 20.02 | Total Time (m): 24.917
Epoch: 71 | Loss: 0.50535 | Reward: -20.344 | Advantage: -0.72917 | Prob: 0.5 | LogProb: 0.69559 | GradNorm: 0.0019525 | Time (s): 19.191 | Total Time (m): 25.237
Epoch: 72 | Loss: 0.45666 | Reward: -19.031 | Advantage: -0.65891 | Prob: 0.50049 | LogProb: 0.69559 | GradNorm: 0.003389 | Time (s): 17.07 | Total Time (m): 25.522
Epoch: 73 | Loss: 0.46441 | Reward: -19.031 | Advantage: -0.67007 | Prob: 0.5 | LogProb: 0.69559 | GradNorm: 0.0022468 | Time (s): 19.119 | Total Time (m): 25.84
Epoch: 74 | Loss: 0.51202 | Reward: -20.344 | Advantage: -0.73878 | Prob: 0.5 | LogProb: 0.69559 | GradNorm: 0.0014651 | Time (s): 19.345 | Total Time (m): 26.163
Epoch: 75 | Loss: 0.50555 | Reward: -20.344 | Advantage: -0.72949 | Prob: 0.50049 | LogProb: 0.69559 | GradNorm: 0.010021 | Time (s): 20.031 | Total Time (m): 26.497
Epoch: 76 | Loss: 0.51446 | Reward: -21 | Advantage: -0.74237 | Prob: 0.5 | LogProb: 0.69559 | GradNorm: 0.0079576 | Time (s): 21.472 | Total Time (m): 26.855
Epoch: 77 | Loss: 0.4312 | Reward: -18.375 | Advantage: -0.6222 | Prob: 0.5 | LogProb: 0.69608 | GradNorm: 0.00723 | Time (s): 20.369 | Total Time (m): 27.194
Epoch: 78 | Loss: 0.41272 | Reward: -18.375 | Advantage: -0.59544 | Prob: 0.5 | LogProb: 0.69608 | GradNorm: 0.002058 | Time (s): 19.591 | Total Time (m): 27.521
Epoch: 79 | Loss: 0.51793 | Reward: -20.344 | Advantage: -0.7472 | Prob: 0.49976 | LogProb: 0.69608 | GradNorm: 0.0052312 | Time (s): 18.97 | Total Time (m): 27.837
Epoch: 80 | Loss: 0.5471 | Reward: -21 | Advantage: -0.78925 | Prob: 0.49976 | LogProb: 0.69657 | GradNorm: 0.013215 | Time (s): 18.563 | Total Time (m): 28.146
Epoch: 81 | Loss: 0.52534 | Reward: -20.344 | Advantage: -0.75788 | Prob: 0.49951 | LogProb: 0.69706 | GradNorm: 0.0076099 | Time (s): 18.161 | Total Time (m): 28.449
Epoch: 82 | Loss: 0.53155 | Reward: -21 | Advantage: -0.7669 | Prob: 0.49951 | LogProb: 0.69755 | GradNorm: 0.0041696 | Time (s): 16.081 | Total Time (m): 28.717
Epoch: 83 | Loss: 0.49847 | Reward: -20.344 | Advantage: -0.71929 | Prob: 0.49927 | LogProb: 0.69755 | GradNorm: 0.0039871 | Time (s): 20.301 | Total Time (m): 29.055
Epoch: 84 | Loss: 0.40112 | Reward: -17.719 | Advantage: -0.57878 | Prob: 0.49902 | LogProb: 0.69804 | GradNorm: 0.0017298 | Time (s): 23.386 | Total Time (m): 29.445
Epoch: 85 | Loss: 0.48785 | Reward: -20.344 | Advantage: -0.70385 | Prob: 0.49878 | LogProb: 0.69853 | GradNorm: 0.0050794 | Time (s): 11.841 | Total Time (m): 29.642
Epoch: 86 | Loss: 0.4867 | Reward: -19.688 | Advantage: -0.70215 | Prob: 0.49878 | LogProb: 0.69853 | GradNorm: 0.0071514 | Time (s): 17.346 | Total Time (m): 29.931
Epoch: 87 | Loss: 0.4678 | Reward: -19.031 | Advantage: -0.67481 | Prob: 0.49878 | LogProb: 0.69902 | GradNorm: 0.0017264 | Time (s): 20.269 | Total Time (m): 30.269
Epoch: 88 | Loss: 0.52497 | Reward: -20.344 | Advantage: -0.75742 | Prob: 0.49854 | LogProb: 0.69902 | GradNorm: 0.0038251 | Time (s): 18.195 | Total Time (m): 30.572
