Using device: cuda
Episode: 576, Reward: -16.625, Advantage: -4.139083897631651e-16, Logits: 0.488037109375, BCE: -0.69287109375, Loss: 0.00004848, Time: 30.30s, Total Time: 16.32m
Episode: 592, Reward: -16.125, Advantage: -2.6300428932867784e-16, Logits: 0.488037109375, BCE: -0.693359375, Loss: -0.00026705, Time: 30.46s, Total Time: 16.83m
Episode: 608, Reward: -16.8125, Advantage: -1.3581369039103856e-16, Logits: 0.488037109375, BCE: -0.69287109375, Loss: -0.00022974, Time: 30.54s, Total Time: 17.34m
Episode: 624, Reward: -14.6875, Advantage: -4.766402514097531e-17, Logits: 0.488037109375, BCE: -0.6923828125, Loss: -0.00014070, Time: 27.33s, Total Time: 17.79m
Episode: 640, Reward: -15.0, Advantage: 4.3595144946014003e-17, Logits: 0.488037109375, BCE: -0.69287109375, Loss: -0.00011663, Time: 20.59s, Total Time: 18.14m
Episode: 656, Reward: -15.625, Advantage: -9.043271182401275e-17, Logits: 0.488037109375, BCE: -0.69287109375, Loss: 0.00012161, Time: 24.61s, Total Time: 18.55m
Episode: 672, Reward: -15.5625, Advantage: -1.746176019313353e-16, Logits: 0.48779296875, BCE: -0.6923828125, Loss: 0.00024436, Time: 24.40s, Total Time: 18.95m
Episode: 688, Reward: -16.0, Advantage: 5.580178553089793e-17, Logits: 0.48779296875, BCE: -0.69287109375, Loss: -0.00029773, Time: 24.13s, Total Time: 19.36m
Episode: 704, Reward: -16.875, Advantage: 1.969264369470866e-16, Logits: 0.48779296875, BCE: -0.6923828125, Loss: 0.00020669, Time: 33.21s, Total Time: 19.91m
Episode: 720, Reward: -14.3125, Advantage: 2.7900892765448965e-17, Logits: 0.48779296875, BCE: -0.693359375, Loss: 0.00023847, Time: 28.41s, Total Time: 20.38m
Episode: 736, Reward: -16.1875, Advantage: 1.957003297644344e-16, Logits: 0.487548828125, BCE: -0.693359375, Loss: -0.00013063, Time: 29.61s, Total Time: 20.88m
Episode: 752, Reward: -17.1875, Advantage: -3.6088513667273707e-16, Logits: 0.487548828125, BCE: -0.6923828125, Loss: -0.00014227, Time: 24.21s, Total Time: 21.28m
Episode: 768, Reward: -14.5625, Advantage: 3.2899802719258567e-16, Logits: 0.487548828125, BCE: -0.693359375, Loss: -0.00034277, Time: 22.15s, Total Time: 21.65m
Episode: 784, Reward: -15.625, Advantage: 1.581050590042108e-16, Logits: 0.4873046875, BCE: -0.6923828125, Loss: 0.00026330, Time: 22.78s, Total Time: 22.03m
Episode: 800, Reward: -16.8125, Advantage: 6.136505445200865e-17, Logits: 0.4873046875, BCE: -0.6923828125, Loss: -0.00017626, Time: 24.23s, Total Time: 22.43m
Episode: 816, Reward: -15.75, Advantage: 3.324856387882668e-16, Logits: 0.4873046875, BCE: -0.6923828125, Loss: 0.00006477, Time: 22.77s, Total Time: 22.81m
Episode: 832, Reward: -15.875, Advantage: -1.1856750748424002e-16, Logits: 0.487060546875, BCE: -0.693359375, Loss: 0.00032585, Time: 24.98s, Total Time: 23.23m
Episode: 848, Reward: -16.6875, Advantage: 1.284597036402441e-16, Logits: 0.487060546875, BCE: -0.6923828125, Loss: 0.00008367, Time: 27.03s, Total Time: 23.68m
Episode: 864, Reward: -16.0625, Advantage: -1.1196430987734913e-16, Logits: 0.487060546875, BCE: -0.6923828125, Loss: 0.00020137, Time: 24.98s, Total Time: 24.10m
Episode: 880, Reward: -17.25, Advantage: -3.8694906321021254e-16, Logits: 0.48681640625, BCE: -0.6923828125, Loss: -0.00003911, Time: 26.62s, Total Time: 24.54m
Episode: 896, Reward: -15.4375, Advantage: -6.467318590049455e-17, Logits: 0.48681640625, BCE: -0.69287109375, Loss: 0.00033305, Time: 25.18s, Total Time: 24.96m
Episode: 912, Reward: -15.6875, Advantage: 2.8540288224657167e-16, Logits: 0.48681640625, BCE: -0.69287109375, Loss: -0.00027377, Time: 22.76s, Total Time: 25.34m
Episode: 928, Reward: -15.1875, Advantage: 1.976313237552635e-17, Logits: 0.48681640625, BCE: -0.6923828125, Loss: -0.00024033, Time: 22.60s, Total Time: 25.71m
Episode: 944, Reward: -17.25, Advantage: -7.760782308059346e-17, Logits: 0.48681640625, BCE: -0.6923828125, Loss: -0.00037183, Time: 25.00s, Total Time: 26.13m
Episode: 960, Reward: -14.375, Advantage: 8.602775269346763e-17, Logits: 0.48681640625, BCE: -0.6923828125, Loss: 0.00017901, Time: 23.32s, Total Time: 26.52m
Episode: 976, Reward: -16.5625, Advantage: -3.664813867694691e-17, Logits: 0.486572265625, BCE: -0.69287109375, Loss: -0.00039582, Time: 24.27s, Total Time: 26.92m
Episode: 992, Reward: -18.25, Advantage: 3.2553145699416357e-16, Logits: 0.486572265625, BCE: -0.6923828125, Loss: -0.00005983, Time: 26.62s, Total Time: 27.37m
Episode: 1008, Reward: -16.5, Advantage: -1.1612986601405996e-16, Logits: 0.486572265625, BCE: -0.69287109375, Loss: 0.00023659, Time: 24.97s, Total Time: 27.78m
Episode: 1024, Reward: -16.75, Advantage: -2.0479842201823274e-16, Logits: 0.486572265625, BCE: -0.69287109375, Loss: -0.00013486, Time: 24.99s, Total Time: 28.20m
Episode: 1040, Reward: -16.1875, Advantage: -2.153159805333637e-18, Logits: 0.486328125, BCE: -0.69287109375, Loss: 0.00033970, Time: 24.59s, Total Time: 28.61m
